id,llm_context_precision_with_reference,context_recall,answer_relevancy,faithfulness
1,0.0,0.0,0.0,1.0
2,0.249999999975,1.0,0.6554005628209217,0.0
3,0.249999999975,1.0,0.6921171998487494,1.0
4,0.3666666666483333,1.0,0.6186398606734829,1.0
5,0.7499999999625,1.0,0.7954817809751982,1.0
6,0.0,0.0,0.0,1.0
7,0.0,0.0,0.0,0.5
8,0.8666666666377778,1.0,0.815998129511796,1.0
9,0.19999999998,1.0,0.5561125414053051,1.0
10,0.9999999999,1.0,0.6939425763249858,1.0
11,0.0,0.0,0.6323618973258137,0.6666666666666666
12,0.4499999999775,1.0,0.6575352407892797,1.0
13,0.19999999998,1.0,0.6112333618598421,1.0
14,0.0,0.0,0.0,1.0
15,0.19999999998,1.0,0.9463306124173868,1.0
16,0.699999999965,1.0,0.8325607036737411,1.0
17,0.0,0.0,0.0,1.0
18,0.8666666666377778,1.0,0.9231021381586594,1.0
19,0.9999999999,1.0,0.9586371998955426,1.0
20,0.249999999975,1.0,0.9608633124179006,1.0
21,0.0,0.0,0.9936296249620238,1.0
22,0.0,0.0,0.0,1.0
23,0.0,0.0,0.0,1.0
24,0.9999999999,1.0,0.9718047074449,1.0
25,0.249999999975,1.0,0.9906435164017464,1.0
26,0.0,0.0,0.8349385029223895,1.0
27,0.5833333333041666,1.0,0.9380330469748196,1.0
28,0.49999999995,1.0,0.928900221826298,1.0
29,0.9999999999,0.5,0.9473999260979822,1.0
30,0.8333333332916666,1.0,0.9544387804912704,1.0
31,0.49999999995,1.0,0.9728984527109515,1.0
32,0.9999999999,1.0,0.9713659003627516,1.0
33,0.9999999999,1.0,0.904723862702314,1.0
34,0.0,0.0,0.0,1.0
35,0.19999999998,1.0,0.9751030413776482,0.3333333333333333
36,0.19999999998,0.0,0.0,0.0
37,0.249999999975,1.0,0.9317692973208006,1.0
38,0.19999999998,0.5,0.992692450239595,1.0
39,0.0,0.0,0.9775178612123168,0.5
40,0.999999999975,1.0,0.9157308783375376,1.0
41,0.9999999999,0.5,0.8274573569292643,1.0
42,0.99999999995,1.0,0.8537500703066998,1.0
43,0.0,0.0,0.0,1.0
44,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.5
46,0.249999999975,1.0,0.8539859104125069,1.0
47,0.0,0.0,0.0,1.0
48,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,1.0
50,0.249999999975,1.0,0.6820588457629446,1.0
